ID;Projeto;Estado de origem;Estado de destino;Data;Label;Valor (R$)
58;Projeto fictício 0058 - Saúde digital;BA;GO;2026-05-06;Desenvolvimento;3095781.72
59;Projeto fictício 0059 - Agricultura;DF;AC;2025-05-04;Concluído;3007762.96
60;Projeto fictício 0060 - Agricultura;BA;AM;2021-01-09;Pesquisa;5781253.12
61;Projeto fictício 0061 - Biotecnologia;SP;SP;2025-06-25;Validação;4297136.78
62;Projeto fictício 0062 - Agricultura;PR;RJ;2021-09-15;Concluído;5437333.24
63;Projeto fictício 0063 - Energia limpa;RS;RS;2022-12-01;Pesquisa;4967078.45
64;Projeto fictício 0064 - Saúde digital;GO;CE;2025-12-01;Validação;2886831.24
65;Projeto fictício 0065 - Agricultura;RJ;PE;2021-12-22;Pesquisa;3599767.25
66;Projeto fictício 0066 - Biotecnologia;BA;AM;2026-01-05;Desenvolvimento;5543451.41
67;Projeto fictício 0067 - Saúde digital;BA;CE;2026-05-12;Prototipagem;3378401.96
68;Projeto fictício 0068 - Saúde digital;SP;RJ;2021-03-31;Pesquisa;1796644.95
69;Projeto fictício 0069 - Indústria 4.0;BA;PE;2026-04-16;Concluído;3241625.56
70;Projeto fictício 0070 - Agricultura;RJ;RS;2024-12-10;Validação;3247170.31
71;Projeto fictício 0071 - Indústria 4.0;GO;AM;2026-04-24;Pesquisa;1883729.77
72;Projeto fictício 0072 - Saúde digital;DF;DF;2021-03-27;Concluído;2584042.50
73;Projeto fictício 0073 - Indústria 4.0;PR;GO;2025-02-22;Validação;1949179.82
74;Projeto fictício 0074 - Agricultura;RJ;MG;2023-10-11;Validação;4007911.83
75;Projeto fictício 0075 - Agricultura;RJ;BA;2022-07-03;Concluído;5586482.74
76;Projeto fictício 0076 - Saúde digital;DF;RS;2025-03-28;Pesquisa;497275.67
77;Projeto fictício 0077 - Energia limpa;AM;GO;2025-09-29;Prototipagem;789136.84
78;Projeto fictício 0078 - Saúde digital;GO;MG;2025-10-10;Validação;5444990.56
79;Projeto fictício 0079 - Agricultura;BA;DF;2021-01-09;Prototipagem;1798180.22
80;Projeto fictício 0080 - Indústria 4.0;PR;RJ;2026-05-11;Prototipagem;2185671.77
81;Projeto fictício 0081 - Agricultura;AC;SP;2022-03-13;Validação;5494250.65
82;Projeto fictício 0082 - Agricultura;BA;GO;2023-05-14;Concluído;1084569.91
83;Projeto fictício 0083 - Indústria 4.0;CE;PE;2025-02-09;Pesquisa;3049087.70
84;Projeto fictício 0084 - Biotecnologia;RJ;BA;2024-05-07;Prototipagem;2186220.45
85;Projeto fictício 0085 - Agricultura;CE;PR;2022-09-05;Pesquisa;1268489.29
86;Projeto fictício 0086 - Agricultura;PR;PR;2026-04-02;Validação;2687729.06
87;Projeto fictício 0087 - Indústria 4.0;DF;SP;2022-03-11;Validação;2041882.70
88;Projeto fictício 0088 - Energia limpa;DF;MG;2021-08-25;Validação;1531452.52
89;Projeto fictício 0089 - Saúde digital;RS;DF;2023-05-27;Pesquisa;3968561.54
90;Projeto fictício 0090 - Energia limpa;AC;BA;2023-10-03;Pesquisa;401349.18
91;Projeto fictício 0091 - Energia limpa;BA;CE;2023-07-22;Pesquisa;2934619.81
92;Projeto fictício 0092 - Agricultura;SP;DF;2026-07-23;Concluído;3378886.76
93;Projeto fictício 0093 - Biotecnologia;RS;DF;2022-09-05;Concluído;5674950.07
94;Projeto fictício 0094 - Energia limpa;AM;CE;2025-01-08;Desenvolvimento;2537226.95
95;Projeto fictício 0095 - Agricultura;PR;RJ;2024-07-26;Concluído;2351340.24
96;Projeto fictício 0096 - Agricultura;GO;AM;2025-04-21;Validação;2517848.62
97;Projeto fictício 0097 - Saúde digital;SP;RS;2021-09-23;Desenvolvimento;2129551.77
98;Projeto fictício 0098 - Energia limpa;DF;DF;2022-06-14;Prototipagem;5888024.09
99;Projeto fictício 0099 - Agricultura;SP;PR;2025-08-09;Prototipagem;2330466.07
100;Projeto fictício 0100 - Agricultura;GO;PR;2026-03-25;Prototipagem;1938835.50
101;Projeto fictício 0101 - Energia limpa;CE;AM;2026-01-19;Concluído;1458367.03
102;Projeto fictício 0102 - Agricultura;PE;SP;2023-04-11;Concluído;951647.98
103;Projeto fictício 0103 - Indústria 4.0;MG;GO;2024-05-24;Prototipagem;5020842.55
104;Projeto fictício 0104 - Saúde digital;AM;PR;2026-09-22;Validação;4372396.00
105;Projeto fictício 0105 - Energia limpa;AM;DF;2024-07-17;Pesquisa;5204215.28
106;Projeto fictício 0106 - Indústria 4.0;RJ;DF;2026-03-17;Desenvolvimento;1313350.01
107;Projeto fictício 0107 - Biotecnologia;MG;BA;2024-01-30;Prototipagem;3796061.93
108;Projeto fictício 0108 - Indústria 4.0;AC;PE;2022-03-11;Prototipagem;1632708.90
109;Projeto fictício 0109 - Biotecnologia;PE;SP;2024-02-17;Validação;1511436.25
110;Projeto fictício 0110 - Biotecnologia;GO;DF;2026-03-18;Concluído;1655616.69
111;Projeto fictício 0111 - Saúde digital;BA;CE;2024-02-20;Concluído;1847858.47
112;Projeto fictício 0112 - Saúde digital;PR;PR;2021-07-02;Concluído;4939598.97
113;Projeto fictício 0113 - Energia limpa;CE;GO;2026-07-24;Pesquisa;4904451.30
114;Projeto fictício 0114 - Agricultura;MG;RJ;2021-02-11;Concluído;1587551.80
115;Projeto fictício 0115 - Agricultura;PR;PR;2023-04-26;Desenvolvimento;1701903.31
116;Projeto fictício 0116 - Biotecnologia;AC;RJ;2023-11-11;Validação;859381.77
117;Projeto fictício 0117 - Saúde digital;DF;AC;2025-05-07;Pesquisa;2996666.30
118;Projeto fictício 0118 - Indústria 4.0;PE;RS;2021-12-28;Pesquisa;4464599.10
119;Projeto fictício 0119 - Indústria 4.0;DF;BA;2024-06-07;Validação;545756.57
120;Projeto fictício 0120 - Energia limpa;MG;PR;2023-12-04;Validação;4416208.46
121;Projeto fictício 0121 - Agricultura;CE;CE;2025-11-14;Validação;5440413.63
122;Projeto fictício 0122 - Indústria 4.0;RJ;AM;2026-08-26;Prototipagem;4979161.45
123;Projeto fictício 0123 - Energia limpa;AC;SP;2021-07-23;Pesquisa;5920788.29
124;Projeto fictício 0124 - Indústria 4.0;RJ;RS;2024-11-20;Prototipagem;1589604.30
125;Projeto fictício 0125 - Indústria 4.0;PE;AM;2024-05-24;Pesquisa;2027895.59
126;Projeto fictício 0126 - Agricultura;GO;AM;2026-08-09;Desenvolvimento;3178784.49
127;Projeto fictício 0127 - Biotecnologia;MG;AC;2023-02-03;Prototipagem;2748989.20
128;Projeto fictício 0128 - Saúde digital;PE;AM;2023-03-09;Prototipagem;2177191.08
129;Projeto fictício 0129 - Indústria 4.0;PE;PE;2022-08-02;Pesquisa;2149117.82
130;Projeto fictício 0130 - Biotecnologia;MG;SP;2026-08-18;Validação;4747296.27
131;Projeto fictício 0131 - Biotecnologia;AM;SP;2025-05-25;Validação;3053552.51
132;Projeto fictício 0132 - Agricultura;GO;BA;2021-09-02;Pesquisa;1119324.63
133;Projeto fictício 0133 - Agricultura;RJ;PE;2024-06-27;Desenvolvimento;4934570.21
134;Projeto fictício 0134 - Biotecnologia;CE;AM;2022-05-04;Pesquisa;1236440.61
135;Projeto fictício 0135 - Energia limpa;SP;CE;2025-10-21;Desenvolvimento;5659200.93
136;Projeto fictício 0136 - Biotecnologia;AC;DF;2023-01-28;Validação;2529883.98
137;Projeto fictício 0137 - Agricultura;PE;RS;2025-06-20;Concluído;1282613.81
138;Projeto fictício 0138 - Saúde digital;PE;RJ;2023-09-23;Validação;5281710.51
139;Projeto fictício 0139 - Saúde digital;AM;PR;2024-10-06;Validação;842610.84
140;Projeto fictício 0140 - Agricultura;PE;RJ;2021-06-13;Desenvolvimento;5995830.11
141;Projeto fictício 0141 - Energia limpa;MG;GO;2026-05-26;Concluído;2565798.43
142;Projeto fictício 0142 - Agricultura;SP;AM;2025-11-01;Prototipagem;4214995.90
143;Projeto fictício 0143 - Agricultura;MG;SP;2023-10-12;Desenvolvimento;2463589.17
144;Projeto fictício 0144 - Agricultura;PE;CE;2022-10-11;Validação;5636858.51
145;Projeto fictício 0145 - Energia limpa;DF;AM;2022-04-01;Concluído;1438214.21
146;Projeto fictício 0146 - Energia limpa;GO;BA;2023-12-17;Concluído;5670910.21
147;Projeto fictício 0147 - Indústria 4.0;BA;SP;2024-02-15;Desenvolvimento;534839.97
148;Projeto fictício 0148 - Saúde digital;RS;BA;2022-08-04;Concluído;992192.34
149;Projeto fictício 0149 - Biotecnologia;PE;AC;2023-01-16;Prototipagem;4559406.32
150;Projeto fictício 0150 - Biotecnologia;DF;RS;2022-05-11;Desenvolvimento;2916621.97
151;Projeto fictício 0151 - Agricultura;AM;RS;2026-09-09;Validação;3906172.61
152;Projeto fictício 0152 - Energia limpa;MG;SP;2026-05-07;Validação;1681390.79
153;Projeto fictício 0153 - Biotecnologia;MG;SP;2022-05-06;Pesquisa;4558304.06
154;Projeto fictício 0154 - Saúde digital;BA;GO;2025-05-28;Pesquisa;4396844.99
155;Projeto fictício 0155 - Biotecnologia;RS;DF;2021-02-06;Validação;2157431.36
156;Projeto fictício 0156 - Indústria 4.0;GO;GO;2022-04-12;Validação;1821284.81
157;Projeto fictício 0157 - Energia limpa;RJ;PE;2022-10-14;Prototipagem;2734801.71
158;Projeto fictício 0158 - Indústria 4.0;DF;DF;2023-01-03;Validação;2128896.89
159;Projeto fictício 0159 - Energia limpa;DF;PR;2022-04-03;Desenvolvimento;4691263.12
160;Projeto fictício 0160 - Agricultura;DF;BA;2021-03-03;Concluído;1968486.46
161;Projeto fictício 0161 - Agricultura;AC;RJ;2024-06-04;Concluído;351853.81
162;Projeto fictício 0162 - Agricultura;PE;CE;2026-06-07;Prototipagem;3339026.77
163;Projeto fictício 0163 - Energia limpa;BA;BA;2025-08-19;Concluído;362655.56
164;Projeto fictício 0164 - Agricultura;PE;AM;2022-06-21;Concluído;4379391.97
165;Projeto fictício 0165 - Saúde digital;BA;SP;2026-09-02;Desenvolvimento;934439.10
166;Projeto fictício 0166 - Saúde digital;SP;RS;2024-12-02;Pesquisa;512855.90
167;Projeto fictício 0167 - Biotecnologia;BA;RJ;2026-08-19;Pesquisa;4712890.00
168;Projeto fictício 0168 - Biotecnologia;SP;AC;2024-02-26;Validação;2728390.86
169;Projeto fictício 0169 - Indústria 4.0;AC;AM;2021-05-13;Prototipagem;646161.84
170;Projeto fictício 0170 - Biotecnologia;PE;MG;2022-03-14;Validação;4571150.87
171;Projeto fictício 0171 - Energia limpa;BA;RJ;2026-09-23;Desenvolvimento;151052.26
172;Projeto fictício 0172 - Agricultura;RJ;SP;2026-09-17;Prototipagem;1060829.50
173;Projeto fictício 0173 - Energia limpa;AM;CE;2021-07-06;Pesquisa;3320808.91
174;Projeto fictício 0174 - Energia limpa;RJ;BA;2023-05-03;Validação;5284038.72
175;Projeto fictício 0175 - Saúde digital;DF;PE;2021-04-15;Validação;4851552.00
176;Projeto fictício 0176 - Agricultura;GO;PR;2023-03-26;Concluído;2873255.66
177;Projeto fictício 0177 - Biotecnologia;BA;SP;2023-06-26;Desenvolvimento;1054342.38
178;Projeto fictício 0178 - Saúde digital;GO;RJ;2026-08-28;Desenvolvimento;5723741.23
179;Projeto fictício 0179 - Agricultura;DF;RS;2021-03-21;Validação;5006084.56
180;Projeto fictício 0180 - Indústria 4.0;RS;RJ;2021-01-13;Prototipagem;4220262.29
181;Projeto fictício 0181 - Energia limpa;DF;MG;2022-06-29;Desenvolvimento;5768879.08
182;Projeto fictício 0182 - Indústria 4.0;RS;BA;2025-12-14;Validação;751971.08
183;Projeto fictício 0183 - Indústria 4.0;MG;PE;2021-01-02;Validação;1891351.38
184;Projeto fictício 0184 - Agricultura;PE;CE;2021-06-20;Desenvolvimento;4565444.33
185;Projeto fictício 0185 - Biotecnologia;AM;SP;2022-03-26;Validação;1259938.52
186;Projeto fictício 0186 - Agricultura;SP;RJ;2021-04-19;Validação;1831117.97
187;Projeto fictício 0187 - Saúde digital;RS;RS;2026-03-04;Pesquisa;1480312.60
188;Projeto fictício 0188 - Saúde digital;PR;AM;2022-09-05;Validação;246295.98
189;Projeto fictício 0189 - Biotecnologia;SP;GO;2022-12-31;Pesquisa;5491433.60
190;Projeto fictício 0190 - Agricultura;AM;CE;2024-06-28;Validação;1755804.16
191;Projeto fictício 0191 - Energia limpa;MG;RS;2021-12-19;Validação;181602.27
192;Projeto fictício 0192 - Indústria 4.0;RJ;PE;2022-05-04;Concluído;5944245.29
193;Projeto fictício 0193 - Indústria 4.0;AC;AC;2024-07-26;Concluído;3507114.56
194;Projeto fictício 0194 - Indústria 4.0;RJ;PE;2023-04-15;Prototipagem;852886.41
195;Projeto fictício 0195 - Saúde digital;RS;CE;2025-02-12;Concluído;3164554.21
196;Projeto fictício 0196 - Agricultura;AM;BA;2026-03-22;Validação;3454427.84
197;Projeto fictício 0197 - Agricultura;SP;RJ;2023-01-16;Prototipagem;4889979.54
198;Projeto fictício 0198 - Energia limpa;SP;RJ;2023-07-22;Desenvolvimento;1267772.03
199;Projeto fictício 0199 - Saúde digital;PR;SP;2025-08-26;Validação;4543935.89
200;Projeto fictício 0200 - Agricultura;CE;SP;2026-06-02;Validação;5350323.23
201;Projeto fictício 0201 - Agricultura;AC;BA;2023-12-04;Pesquisa;4348207.63
202;Projeto fictício 0202 - Indústria 4.0;PR;MG;2021-01-25;Concluído;5094690.29
203;Projeto fictício 0203 - Agricultura;PE;SP;2023-09-21;Concluído;3250468.41
204;Projeto fictício 0204 - Biotecnologia;BA;MG;2026-02-08;Pesquisa;1569336.35
205;Projeto fictício 0205 - Indústria 4.0;DF;AC;2022-10-24;Concluído;5585922.96
206;Projeto fictício 0206 - Indústria 4.0;PR;AC;2025-09-13;Pesquisa;1765386.01
207;Projeto fictício 0207 - Biotecnologia;PE;PE;2022-02-06;Pesquisa;2322980.12
208;Projeto fictício 0208 - Indústria 4.0;MG;RJ;2024-11-09;Desenvolvimento;1980668.14
209;Projeto fictício 0209 - Agricultura;BA;GO;2023-08-29;Desenvolvimento;1915940.19
210;Projeto fictício 0210 - Saúde digital;RS;PR;2021-09-24;Concluído;1391807.31
211;Projeto fictício 0211 - Energia limpa;BA;PR;2025-10-16;Desenvolvimento;5248928.51
212;Projeto fictício 0212 - Saúde digital;RS;PE;2021-05-07;Prototipagem;166614.92
213;Projeto fictício 0213 - Indústria 4.0;AC;BA;2024-10-14;Pesquisa;47516.60
214;Projeto fictício 0214 - Energia limpa;AM;GO;2021-10-17;Prototipagem;5049866.34
215;Projeto fictício 0215 - Saúde digital;PE;RS;2022-12-23;Prototipagem;4593152.19
216;Projeto fictício 0216 - Agricultura;BA;RJ;2024-07-16;Concluído;2922893.38
217;Projeto fictício 0217 - Agricultura;MG;RS;2025-10-13;Pesquisa;5555187.86
218;Projeto fictício 0218 - Saúde digital;AM;RJ;2024-11-08;Pesquisa;876495.71
219;Projeto fictício 0219 - Biotecnologia;BA;RJ;2023-02-04;Desenvolvimento;1569830.79
220;Projeto fictício 0220 - Energia limpa;DF;BA;2021-12-28;Validação;389083.16
221;Projeto fictício 0221 - Agricultura;PE;GO;2024-08-23;Prototipagem;1500693.53
222;Projeto fictício 0222 - Agricultura;PE;CE;2025-11-26;Pesquisa;1341597.58
223;Projeto fictício 0223 - Biotecnologia;AC;SP;2024-04-10;Desenvolvimento;3987619.22
224;Projeto fictício 0224 - Biotecnologia;MG;AC;2025-03-04;Prototipagem;1034412.24
225;Projeto fictício 0225 - Energia limpa;BA;AC;2023-04-13;Concluído;3692133.96
226;Projeto fictício 0226 - Indústria 4.0;DF;RJ;2026-05-03;Pesquisa;1895419.06
227;Projeto fictício 0227 - Indústria 4.0;AC;GO;2021-11-06;Concluído;2943585.34
228;Projeto fictício 0228 - Biotecnologia;DF;PE;2023-08-12;Pesquisa;1064274.81
229;Projeto fictício 0229 - Biotecnologia;RS;RJ;2021-10-16;Concluído;2917637.30
230;Projeto fictício 0230 - Saúde digital;GO;DF;2025-04-03;Desenvolvimento;3394198.07
231;Projeto fictício 0231 - Biotecnologia;AC;RJ;2022-03-05;Concluído;1075529.01
232;Projeto fictício 0232 - Energia limpa;BA;RJ;2024-03-10;Prototipagem;4402456.50
233;Projeto fictício 0233 - Energia limpa;AC;AM;2024-07-18;Concluído;5260954.34
234;Projeto fictício 0234 - Agricultura;PR;RS;2026-07-12;Prototipagem;1202223.28
235;Projeto fictício 0235 - Saúde digital;BA;CE;2024-09-18;Desenvolvimento;5435248.04
236;Projeto fictício 0236 - Indústria 4.0;GO;DF;2026-06-23;Concluído;1660350.43
237;Projeto fictício 0237 - Biotecnologia;AC;MG;2022-01-30;Prototipagem;4839469.79
238;Projeto fictício 0238 - Indústria 4.0;BA;CE;2022-03-31;Pesquisa;3111558.08
239;Projeto fictício 0239 - Saúde digital;DF;DF;2021-09-11;Desenvolvimento;5330605.34
240;Projeto fictício 0240 - Agricultura;RJ;BA;2021-07-04;Pesquisa;1355578.13
241;Projeto fictício 0241 - Saúde digital;DF;MG;2021-02-05;Pesquisa;3165693.29
242;Projeto fictício 0242 - Agricultura;AC;DF;2023-06-08;Concluído;1653185.39
243;Projeto fictício 0243 - Indústria 4.0;BA;RJ;2022-09-02;Desenvolvimento;1870161.82
244;Projeto fictício 0244 - Biotecnologia;AM;GO;2023-03-26;Desenvolvimento;3815756.66
245;Projeto fictício 0245 - Energia limpa;DF;GO;2025-08-26;Pesquisa;4956767.73
246;Projeto fictício 0246 - Biotecnologia;PE;RS;2021-02-16;Concluído;1763709.09
247;Projeto fictício 0247 - Biotecnologia;CE;RJ;2024-08-01;Concluído;1654448.51
248;Projeto fictício 0248 - Energia limpa;RS;RJ;2023-11-21;Concluído;479087.30
249;Projeto fictício 0249 - Energia limpa;SP;RJ;2022-03-05;Prototipagem;3460855.51
250;Projeto fictício 0250 - Agricultura;SP;AM;2022-05-14;Desenvolvimento;1646395.02
251;Projeto fictício 0251 - Biotecnologia;MG;CE;2026-04-11;Concluído;2390361.92
252;Projeto fictício 0252 - Agricultura;GO;SP;2024-02-16;Validação;1523713.22
253;Projeto fictício 0253 - Indústria 4.0;MG;BA;2021-07-23;Validação;1861697.60
254;Projeto fictício 0254 - Energia limpa;DF;AC;2023-08-26;Concluído;4447405.60
255;Projeto fictício 0255 - Saúde digital;PE;SP;2023-11-25;Validação;4709115.84
256;Projeto fictício 0256 - Biotecnologia;AC;AC;2024-12-24;Prototipagem;2153319.10
257;Projeto fictício 0257 - Biotecnologia;PR;GO;2025-03-26;Pesquisa;4897382.06
258;Projeto fictício 0258 - Indústria 4.0;GO;AC;2025-07-17;Prototipagem;1547924.54
259;Projeto fictício 0259 - Biotecnologia;AC;GO;2021-09-06;Validação;2956006.07
260;Projeto fictício 0260 - Saúde digital;AM;AM;2025-05-01;Concluído;2303789.05
261;Projeto fictício 0261 - Indústria 4.0;AC;AC;2023-02-12;Validação;5896829.59
262;Projeto fictício 0262 - Energia limpa;MG;MG;2022-04-10;Validação;1083930.42
263;Projeto fictício 0263 - Energia limpa;MG;CE;2025-10-31;Pesquisa;4093768.82
264;Projeto fictício 0264 - Indústria 4.0;GO;DF;2022-06-01;Validação;712298.52
265;Projeto fictício 0265 - Saúde digital;CE;RS;2026-03-16;Pesquisa;5263405.56
266;Projeto fictício 0266 - Agricultura;AC;PR;2021-04-27;Pesquisa;1467464.17
267;Projeto fictício 0267 - Indústria 4.0;CE;GO;2023-06-10;Pesquisa;1951250.61
268;Projeto fictício 0268 - Indústria 4.0;AC;SP;2022-12-04;Validação;2383314.43
269;Projeto fictício 0269 - Agricultura;AM;RS;2026-01-27;Pesquisa;5871367.90
270;Projeto fictício 0270 - Indústria 4.0;SP;SP;2021-03-29;Desenvolvimento;5738140.85
271;Projeto fictício 0271 - Indústria 4.0;RS;SP;2024-01-15;Concluído;3717892.82
272;Projeto fictício 0272 - Energia limpa;SP;GO;2022-05-13;Desenvolvimento;659667.26
273;Projeto fictício 0273 - Energia limpa;SP;PR;2021-11-05;Prototipagem;1817772.43
274;Projeto fictício 0274 - Agricultura;DF;MG;2024-10-13;Validação;2602298.37
275;Projeto fictício 0275 - Saúde digital;GO;AM;2021-03-22;Prototipagem;3396221.28
276;Projeto fictício 0276 - Biotecnologia;PR;BA;2025-05-01;Concluído;466521.27
277;Projeto fictício 0277 - Agricultura;AM;BA;2023-01-30;Pesquisa;2947922.50
278;Projeto fictício 0278 - Saúde digital;DF;CE;2026-09-18;Prototipagem;1544479.53
279;Projeto fictício 0279 - Biotecnologia;PR;RJ;2021-08-15;Prototipagem;1864844.87
280;Projeto fictício 0280 - Energia limpa;AM;PE;2023-08-22;Desenvolvimento;324298.79
281;Projeto fictício 0281 - Indústria 4.0;PR;GO;2023-10-05;Concluído;2739132.41
282;Projeto fictício 0282 - Agricultura;PR;PR;2022-12-02;Validação;1628203.57
283;Projeto fictício 0283 - Saúde digital;RJ;GO;2021-12-15;Prototipagem;4422834.11
284;Projeto fictício 0284 - Saúde digital;CE;PR;2021-07-11;Pesquisa;5490577.70
285;Projeto fictício 0285 - Biotecnologia;RS;PE;2021-05-16;Concluído;4511733.83
286;Projeto fictício 0286 - Biotecnologia;SP;DF;2022-12-08;Concluído;1549497.59
287;Projeto fictício 0287 - Energia limpa;PE;SP;2025-05-12;Prototipagem;4202154.06
288;Projeto fictício 0288 - Saúde digital;SP;PR;2024-03-29;Concluído;2459918.60
289;Projeto fictício 0289 - Agricultura;SP;MG;2022-09-18;Concluído;5511613.66
290;Projeto fictício 0290 - Biotecnologia;DF;CE;2022-08-16;Desenvolvimento;2334857.40
291;Projeto fictício 0291 - Biotecnologia;CE;PE;2024-06-15;Desenvolvimento;1813479.94
292;Projeto fictício 0292 - Saúde digital;RS;AM;2026-05-22;Validação;2581236.35
293;Projeto fictício 0293 - Agricultura;BA;RJ;2025-08-25;Prototipagem;5289041.48
294;Projeto fictício 0294 - Indústria 4.0;BA;DF;2022-03-26;Pesquisa;5601918.03
295;Projeto fictício 0295 - Biotecnologia;PR;AC;2023-08-27;Concluído;1057428.65
296;Projeto fictício 0296 - Biotecnologia;CE;SP;2024-04-15;Desenvolvimento;4438701.52
297;Projeto fictício 0297 - Agricultura;BA;RJ;2026-06-05;Concluído;3443929.64
298;Projeto fictício 0298 - Agricultura;PE;SP;2024-09-20;Prototipagem;3662359.53
