Título Público do Projeto;Descrição;Status do Projeto;Empresa Contratante;Porte da Empresa;UF da Empresa;Projetos Contratados;Segmento CEIS;Data de Inicio;Unidade Embrapii;TRL - Inicial;TRL - Final;Área de Aplicação - Nível 1;Área de Aplicação - Nível 2;Tecnológia Habilitadora - Nível 1;Tecnológia Habilitadora - Nível 2
“EMBRAPII CICS - Potencial de novos cimentos de baixo carbono  formulados com aditivos funcionais”;"""Este projeto visa desenvolver, de forma cooperativa pré-competitiva, soluções potenciais para formulação de novos cimentos de baixo carbono, contendo aditivos funcionais 
dispersantes, que tenham rápido crescimento de resistência, sejam robustos, confiáveis e duráveis, bem como avaliar as propriedades destes materiais e desenvolver métodos de medida da demanda de água. São aspectos a serem estudados: características físicas e químicas dos cimentos e aditivos, estabilidade dos aditivos frente a temperatura, interação e dosagem dos aditivos, higroscopicidade do cimento aditivado, usabilidade dos cimentos aditivos em concretos e argamassas misturados em obra, desempenho de formulações com grande capacidade de mitigação e parâmetros de durabilidade.""";Em andamento;CIPLAN CIMENTO PLANALTO SA;Grande;DF;2;Não é CEIS;24/11/2022;CICS Poli-USP;3;3;Indústria de base;Outros segmentos da indústria de base;Tecnologias químicas;Química Verde e Sustentável
“EMBRAPII CICS - Potencial de novos cimentos de baixo carbono  formulados com aditivos funcionais”;"""Este projeto visa desenvolver, de forma cooperativa pré-competitiva, soluções potenciais para formulação de novos cimentos de baixo carbono, contendo aditivos funcionais 
dispersantes, que tenham rápido crescimento de resistência, sejam robustos, confiáveis e duráveis, bem como avaliar as propriedades destes materiais e desenvolver métodos de medida da demanda de água. São aspectos a serem estudados: características físicas e químicas dos cimentos e aditivos, estabilidade dos aditivos frente a temperatura, interação e dosagem dos aditivos, higroscopicidade do cimento aditivado, usabilidade dos cimentos aditivos em concretos e argamassas misturados em obra, desempenho de formulações com grande capacidade de mitigação e parâmetros de durabilidade.""";Em andamento;GCP BRASIL INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS;Pequena;SP;1;Não é CEIS;24/11/2022;CICS Poli-USP;3;3;Indústria de base;Outros segmentos da indústria de base;Tecnologias químicas;Química Verde e Sustentável
“EMBRAPII CICS - Potencial de novos cimentos de baixo carbono  formulados com aditivos funcionais”;"""Este projeto visa desenvolver, de forma cooperativa pré-competitiva, soluções potenciais para formulação de novos cimentos de baixo carbono, contendo aditivos funcionais 
dispersantes, que tenham rápido crescimento de resistência, sejam robustos, confiáveis e duráveis, bem como avaliar as propriedades destes materiais e desenvolver métodos de medida da demanda de água. São aspectos a serem estudados: características físicas e químicas dos cimentos e aditivos, estabilidade dos aditivos frente a temperatura, interação e dosagem dos aditivos, higroscopicidade do cimento aditivado, usabilidade dos cimentos aditivos em concretos e argamassas misturados em obra, desempenho de formulações com grande capacidade de mitigação e parâmetros de durabilidade.""";Em andamento;VOTORANTIM CIMENTOS S.A.;Grande;SP;4;Não é CEIS;24/11/2022;CICS Poli-USP;3;3;Indústria de base;Outros segmentos da indústria de base;Tecnologias químicas;Química Verde e Sustentável
“EMBRAPII CICS - Potencial de novos cimentos de baixo carbono  formulados com aditivos funcionais”;"""Este projeto visa desenvolver, de forma cooperativa pré-competitiva, soluções potenciais para formulação de novos cimentos de baixo carbono, contendo aditivos funcionais 
dispersantes, que tenham rápido crescimento de resistência, sejam robustos, confiáveis e duráveis, bem como avaliar as propriedades destes materiais e desenvolver métodos de medida da demanda de água. São aspectos a serem estudados: características físicas e químicas dos cimentos e aditivos, estabilidade dos aditivos frente a temperatura, interação e dosagem dos aditivos, higroscopicidade do cimento aditivado, usabilidade dos cimentos aditivos em concretos e argamassas misturados em obra, desempenho de formulações com grande capacidade de mitigação e parâmetros de durabilidade.""";Em andamento;COMPANHIA NACIONAL DE CIMENTO - CNC;Grande;PE;2;Não é CEIS;24/11/2022;CICS Poli-USP;3;3;Indústria de base;Outros segmentos da indústria de base;Tecnologias químicas;Química Verde e Sustentável
“EMBRAPII CICS - Potencial de novos cimentos de baixo carbono  formulados com aditivos funcionais”;"""Este projeto visa desenvolver, de forma cooperativa pré-competitiva, soluções potenciais para formulação de novos cimentos de baixo carbono, contendo aditivos funcionais 
dispersantes, que tenham rápido crescimento de resistência, sejam robustos, confiáveis e duráveis, bem como avaliar as propriedades destes materiais e desenvolver métodos de medida da demanda de água. São aspectos a serem estudados: características físicas e químicas dos cimentos e aditivos, estabilidade dos aditivos frente a temperatura, interação e dosagem dos aditivos, higroscopicidade do cimento aditivado, usabilidade dos cimentos aditivos em concretos e argamassas misturados em obra, desempenho de formulações com grande capacidade de mitigação e parâmetros de durabilidade.""";Em andamento;COMPANHIA INDUSTRIAL DE CIMENTO APODI;Média;CE;3;Não é CEIS;24/11/2022;CICS Poli-USP;3;3;Indústria de base;Outros segmentos da indústria de base;Tecnologias químicas;Química Verde e Sustentável
“EMBRAPII CICS - Potencial de novos cimentos de baixo carbono  formulados com aditivos funcionais”;"""Este projeto visa desenvolver, de forma cooperativa pré-competitiva, soluções potenciais para formulação de novos cimentos de baixo carbono, contendo aditivos funcionais 
dispersantes, que tenham rápido crescimento de resistência, sejam robustos, confiáveis e duráveis, bem como avaliar as propriedades destes materiais e desenvolver métodos de medida da demanda de água. São aspectos a serem estudados: características físicas e químicas dos cimentos e aditivos, estabilidade dos aditivos frente a temperatura, interação e dosagem dos aditivos, higroscopicidade do cimento aditivado, usabilidade dos cimentos aditivos em concretos e argamassas misturados em obra, desempenho de formulações com grande capacidade de mitigação e parâmetros de durabilidade.""";Em andamento;NOVAKEM INDUSTRIA QUIMICA LTDA;Média;BA;2;Não é CEIS;24/11/2022;CICS Poli-USP;3;3;Indústria de base;Outros segmentos da indústria de base;Tecnologias químicas;Química Verde e Sustentável
“EMBRAPII CICS - Potencial de novos cimentos de baixo carbono  formulados com aditivos funcionais”;"""Este projeto visa desenvolver, de forma cooperativa pré-competitiva, soluções potenciais para formulação de novos cimentos de baixo carbono, contendo aditivos funcionais 
dispersantes, que tenham rápido crescimento de resistência, sejam robustos, confiáveis e duráveis, bem como avaliar as propriedades destes materiais e desenvolver métodos de medida da demanda de água. São aspectos a serem estudados: características físicas e químicas dos cimentos e aditivos, estabilidade dos aditivos frente a temperatura, interação e dosagem dos aditivos, higroscopicidade do cimento aditivado, usabilidade dos cimentos aditivos em concretos e argamassas misturados em obra, desempenho de formulações com grande capacidade de mitigação e parâmetros de durabilidade.""";Em andamento;SIKA S A;Grande;SP;1;Não é CEIS;24/11/2022;CICS Poli-USP;3;3;Indústria de base;Outros segmentos da indústria de base;Tecnologias químicas;Química Verde e Sustentável
“EMBRAPII CICS - IA aplicada à previsão do desempenho de  cimentos e concretos”;"""O desenvolvimento de modelos de inteligência artificial auxiliado por novos ensaios para previsão do desempenho do cimento e concreto é de grande importância para otimizar o controle de qualidade destes materiais, antever o desempenho do produto em uso e reduzir a pegada de CO2 da indústria do cimento e concreto. Os seguintes tópicos serão abordados neste projeto: seleção, coleta, anonimização e organização dos dados para formulação dos modelos de séries temporais; desenvolvimento dos modelos de IA 
focados para cadeia do cimento e concreto; testes destes modelos para os dados fornecidos pelos parceiros industriais; estudo de compatibilização entre os modelos de cimento e concreto; desenvolvimento e otimização de novas metodologias que avaliem o desempenho do cimento e concreto e sejam compatíveis com IoT.""";Em andamento;CIPLAN CIMENTO PLANALTO SA;Grande;DF;2;Não é CEIS;24/11/2022;CICS Poli-USP;3;6;Indústria de base;Outros segmentos da indústria de base;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
“EMBRAPII CICS - IA aplicada à previsão do desempenho de  cimentos e concretos”;"""O desenvolvimento de modelos de inteligência artificial auxiliado por novos ensaios para previsão do desempenho do cimento e concreto é de grande importância para otimizar o controle de qualidade destes materiais, antever o desempenho do produto em uso e reduzir a pegada de CO2 da indústria do cimento e concreto. Os seguintes tópicos serão abordados neste projeto: seleção, coleta, anonimização e organização dos dados para formulação dos modelos de séries temporais; desenvolvimento dos modelos de IA 
focados para cadeia do cimento e concreto; testes destes modelos para os dados fornecidos pelos parceiros industriais; estudo de compatibilização entre os modelos de cimento e concreto; desenvolvimento e otimização de novas metodologias que avaliem o desempenho do cimento e concreto e sejam compatíveis com IoT.""";Em andamento;VOTORANTIM CIMENTOS S.A.;Grande;SP;4;Não é CEIS;24/11/2022;CICS Poli-USP;3;6;Indústria de base;Outros segmentos da indústria de base;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
“EMBRAPII CICS - IA aplicada à previsão do desempenho de  cimentos e concretos”;"""O desenvolvimento de modelos de inteligência artificial auxiliado por novos ensaios para previsão do desempenho do cimento e concreto é de grande importância para otimizar o controle de qualidade destes materiais, antever o desempenho do produto em uso e reduzir a pegada de CO2 da indústria do cimento e concreto. Os seguintes tópicos serão abordados neste projeto: seleção, coleta, anonimização e organização dos dados para formulação dos modelos de séries temporais; desenvolvimento dos modelos de IA 
focados para cadeia do cimento e concreto; testes destes modelos para os dados fornecidos pelos parceiros industriais; estudo de compatibilização entre os modelos de cimento e concreto; desenvolvimento e otimização de novas metodologias que avaliem o desempenho do cimento e concreto e sejam compatíveis com IoT.""";Em andamento;COMPANHIA NACIONAL DE CIMENTO - CNC;Grande;PE;2;Não é CEIS;24/11/2022;CICS Poli-USP;3;6;Indústria de base;Outros segmentos da indústria de base;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
“EMBRAPII CICS - IA aplicada à previsão do desempenho de  cimentos e concretos”;"""O desenvolvimento de modelos de inteligência artificial auxiliado por novos ensaios para previsão do desempenho do cimento e concreto é de grande importância para otimizar o controle de qualidade destes materiais, antever o desempenho do produto em uso e reduzir a pegada de CO2 da indústria do cimento e concreto. Os seguintes tópicos serão abordados neste projeto: seleção, coleta, anonimização e organização dos dados para formulação dos modelos de séries temporais; desenvolvimento dos modelos de IA 
focados para cadeia do cimento e concreto; testes destes modelos para os dados fornecidos pelos parceiros industriais; estudo de compatibilização entre os modelos de cimento e concreto; desenvolvimento e otimização de novas metodologias que avaliem o desempenho do cimento e concreto e sejam compatíveis com IoT.""";Em andamento;MRV ENGENHARIA E PARTICIPACOES SA;Grande;MG;1;Não é CEIS;24/11/2022;CICS Poli-USP;3;6;Indústria de base;Outros segmentos da indústria de base;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
“EMBRAPII CICS - IA aplicada à previsão do desempenho de  cimentos e concretos”;"""O desenvolvimento de modelos de inteligência artificial auxiliado por novos ensaios para previsão do desempenho do cimento e concreto é de grande importância para otimizar o controle de qualidade destes materiais, antever o desempenho do produto em uso e reduzir a pegada de CO2 da indústria do cimento e concreto. Os seguintes tópicos serão abordados neste projeto: seleção, coleta, anonimização e organização dos dados para formulação dos modelos de séries temporais; desenvolvimento dos modelos de IA 
focados para cadeia do cimento e concreto; testes destes modelos para os dados fornecidos pelos parceiros industriais; estudo de compatibilização entre os modelos de cimento e concreto; desenvolvimento e otimização de novas metodologias que avaliem o desempenho do cimento e concreto e sejam compatíveis com IoT.""";Em andamento;COMPANHIA INDUSTRIAL DE CIMENTO APODI;Média;CE;3;Não é CEIS;24/11/2022;CICS Poli-USP;3;6;Indústria de base;Outros segmentos da indústria de base;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
“EMBRAPII CICS - IA aplicada à previsão do desempenho de  cimentos e concretos”;"""O desenvolvimento de modelos de inteligência artificial auxiliado por novos ensaios para previsão do desempenho do cimento e concreto é de grande importância para otimizar o controle de qualidade destes materiais, antever o desempenho do produto em uso e reduzir a pegada de CO2 da indústria do cimento e concreto. Os seguintes tópicos serão abordados neste projeto: seleção, coleta, anonimização e organização dos dados para formulação dos modelos de séries temporais; desenvolvimento dos modelos de IA 
focados para cadeia do cimento e concreto; testes destes modelos para os dados fornecidos pelos parceiros industriais; estudo de compatibilização entre os modelos de cimento e concreto; desenvolvimento e otimização de novas metodologias que avaliem o desempenho do cimento e concreto e sejam compatíveis com IoT.""";Em andamento;DIRECIONAL ENGENHARIA S/A;Grande;MG;1;Não é CEIS;24/11/2022;CICS Poli-USP;3;6;Indústria de base;Outros segmentos da indústria de base;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
“EMBRAPII CICS - IA aplicada à previsão do desempenho de  cimentos e concretos”;"""O desenvolvimento de modelos de inteligência artificial auxiliado por novos ensaios para previsão do desempenho do cimento e concreto é de grande importância para otimizar o controle de qualidade destes materiais, antever o desempenho do produto em uso e reduzir a pegada de CO2 da indústria do cimento e concreto. Os seguintes tópicos serão abordados neste projeto: seleção, coleta, anonimização e organização dos dados para formulação dos modelos de séries temporais; desenvolvimento dos modelos de IA 
focados para cadeia do cimento e concreto; testes destes modelos para os dados fornecidos pelos parceiros industriais; estudo de compatibilização entre os modelos de cimento e concreto; desenvolvimento e otimização de novas metodologias que avaliem o desempenho do cimento e concreto e sejam compatíveis com IoT.""";Em andamento;NOVAKEM INDUSTRIA QUIMICA LTDA;Média;BA;2;Não é CEIS;24/11/2022;CICS Poli-USP;3;6;Indústria de base;Outros segmentos da indústria de base;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
“EMBRAPII CICS - IA aplicada à previsão do desempenho de  cimentos e concretos”;"""O desenvolvimento de modelos de inteligência artificial auxiliado por novos ensaios para previsão do desempenho do cimento e concreto é de grande importância para otimizar o controle de qualidade destes materiais, antever o desempenho do produto em uso e reduzir a pegada de CO2 da indústria do cimento e concreto. Os seguintes tópicos serão abordados neste projeto: seleção, coleta, anonimização e organização dos dados para formulação dos modelos de séries temporais; desenvolvimento dos modelos de IA 
focados para cadeia do cimento e concreto; testes destes modelos para os dados fornecidos pelos parceiros industriais; estudo de compatibilização entre os modelos de cimento e concreto; desenvolvimento e otimização de novas metodologias que avaliem o desempenho do cimento e concreto e sejam compatíveis com IoT.""";Em andamento;SUPERMIX CONCRETO S/A;Grande;MG;1;Não é CEIS;24/11/2022;CICS Poli-USP;3;6;Indústria de base;Outros segmentos da indústria de base;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
Desenvolver conjunto de soluções para antenas RFID;Desenvolver conjunto de soluções para antenas RFID;Cancelado;STOREID DESENVOLVIMENTO DE TECNOLOGIA LTDA;Pequena;SP;2;Não é CEIS;30/12/2014;CIMATEC;6;6;Processos industriais;Logística e cadeias de suprimento;Instrumentação e Sistemas Embarcados;Interfaces de Comunicação e RF
ACCETA Analytics Projetos Incentivados;pesquisa e desenvolvimento de software web denominado ACCETA ANALYTICS para automação parcial de processos associados com preenchimento e controle de formulários técnicos utilizados na relatoria de projetos de inovação;Concluído;ACREL DISTRIBUIDORA DE MANGUEIRAS LTDA;Média;SC;2;Não é CEIS;20/04/2022;CERTI;6;6;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Integração de Sistemas;Plataformas de interoperabilidade e integração de dados heterogêneos
ACCETA Analytics Projetos Incentivados;pesquisa e desenvolvimento de software web denominado ACCETA ANALYTICS para automação parcial de processos associados com preenchimento e controle de formulários técnicos utilizados na relatoria de projetos de inovação;Concluído;ACCETA ESPECIALISTAS LTDA;Microempresa;SC;2;Não é CEIS;20/04/2022;CERTI;6;6;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Integração de Sistemas;Plataformas de interoperabilidade e integração de dados heterogêneos
Sistemas e subsistemas de comunicações ópticas de alta capacidade (WDM-AC);O projeto tem como objetivo criar e evoluir tecnologias inovadoras de sistemas e subsistemas de comunicações ópticas WDM (Wavelength Divison Multiplexing) de alta capacidade.;Concluído;PADTEC S/A;Média;SP;9;Não é CEIS;01/01/2015;CPqD;6;6;Telecomunicações;Infraestrutura de comunicação de larga escala;Tecnologias ópticas e sensoriamento;Tecnologias Fotônicas e Ópticas
ACCETA ANALYTICS;Plataforma Acceta Analytics é ferramenta de apoio à escrita automática de projetos e da gestão de informações para projetos de P&D apoiados pela Lei do Bem;Concluído;ACREL DISTRIBUIDORA DE MANGUEIRAS LTDA;Média;SC;2;Não é CEIS;06/10/2023;CERTI;5;6;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Inteligência artificial;IA Generativa
ACCETA ANALYTICS;Plataforma Acceta Analytics é ferramenta de apoio à escrita automática de projetos e da gestão de informações para projetos de P&D apoiados pela Lei do Bem;Concluído;ACCETA ESPECIALISTAS LTDA;Microempresa;SC;2;Não é CEIS;06/10/2023;CERTI;5;6;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Inteligência artificial;IA Generativa
PROJETO CANCELADO -;PROJETO CANCELADO;Cancelado;GNATUS EQUIPAMENTOS MEDICO ODONTOLOGICOS S/A;Média;SP;3;Indústria;14/01/2015;CERTI;6;6;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Integração de Sistemas;Integração vertical
Laser Diodo;Desenvolvimento de equipamento eletromédico gerador de laser a diodo semicondutor, para procedimentos de medicina estética e de dermatologia.;Concluído;IBRAMED INDUSTRIA BRASILEIRA DE EQUIPAMENTOS MEDICOS - EIRELI;Microempresa;SP;6;Indústria;01/04/2019;ELDORADO;6;6;Complexo industrial da saúde;Dispositivos médicos e biomateriais;Tecnologias ópticas e sensoriamento;Tecnologias Fotônicas e Ópticas
Desenvolvimento de Microcabos Ópticos (DMO);Desenvolvimento de microcabos ópticos para instalações externas soprados em dutos, os quais permitirão a otimização da utilização da infraestrutra existente de dutos, contribuindo para o processo do enterramento das redes de telecomunicações, meta das grandes cidades brasileiras para a diminuição da poluição visual e aumento do espaço livre na superfície.;Concluído;PRYSMIAN DRAKA BRASIL S.A;Grande;SP;2;Não é CEIS;20/01/2015;CPqD;6;6;Telecomunicações;Infraestrutura de comunicação de larga escala;Tecnologias ópticas e sensoriamento;Tecnologias Fotônicas e Ópticas
Estimulador Neuromuscular;Desenvolvimento de um equipamento capaz de realizar procedimentos de fisioterapia e reabilitação.;Concluído;IBRAMED INDUSTRIA BRASILEIRA DE EQUIPAMENTOS MEDICOS - EIRELI;Microempresa;SP;6;Indústria;01/08/2019;ELDORADO;6;6;Complexo industrial da saúde;Reabilitação e fisioterapia avançada;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
Ionômero de Vidro;O cimento de ionômero de vidro (CIV) é um material constituído de partículas de vidro dispersas numa matriz formada pela reação ácido/base do vidro com o ácido poli acrílico. Os CIVs apresentam liberação contínua de flúor conferindo propriedades anticariogênicas. Uma das limitações quanto à utilização dos CIVs é a baixa resistência à compressão e à flexão, em relação às resinas orgânicas. Esse projeto tem o desafio de estudar um ionômero com melhores propriedades mecânicas e maior radiopacidade.;Concluído;ANGELUS INDUSTRIA DE PRODUTOS ODONTOLOGICOS S/A;Grande;PR;3;Indústria;27/02/2015;IPT-Materiais;6;6;Complexo industrial da saúde;Dispositivos médicos e biomateriais;Manufatura e materiais avançados;Biomateriais e Materiais Renováveis
Equipamento de Magnetoterapia;Desenvolver um equipamento de magnetoterapia para emprego em medicina de reabilitação e fisioterapia.;Concluído;IBRAMED INDUSTRIA BRASILEIRA DE EQUIPAMENTOS MEDICOS - EIRELI;Microempresa;SP;6;Indústria;01/02/2020;ELDORADO;5;5;Complexo industrial da saúde;Reabilitação e fisioterapia avançada;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
TransdataMobi;Software para dispositivos portáteis para bilhetagem.;Concluído;TRANSDATA INDUSTRIA E SERVICOS DE AUTOMACAO LTDA.;Grande;SP;1;Não é CEIS;01/03/2015;CEEI;6;6;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Conectividade e cloud;Computação em Nuvem (Cloud Computing)
Equipamento de Ultrassom Portátil;Equipamento de ultrassonografia portátil capaz de realizar procedimentos de diagnóstico por imagens na beira do leito/clinica, inicialmente focado em aplicações ortopédicas e respiratórias.;Atrasado;IBRAMED INDUSTRIA BRASILEIRA DE EQUIPAMENTOS MEDICOS - EIRELI;Microempresa;SP;6;Indústria;01/09/2022;ELDORADO;4;6;Complexo industrial da saúde;Dispositivos médicos e biomateriais;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
Desenvolvimento do processo de manufatura para bebidas energéticas;Desenvolvimento do processo de manufatura para bebidas energéticas sem gaseificação e com base natural.;Concluído;TTS GRUPO COMERCIO DE BEBIDAS EXPORTACAO IMPORTACAO LTDA - ME;Microempresa;BA;1;Não é CEIS;11/03/2015;CIMATEC;6;6;Alimentos e bebidas;Bebidas;Tecnologias químicas;Alimentos
Desenvolvimento de Plataforma de Computação Heterogênea para processamento de grandezas multifísicas;Desenvolvimento de Plataforma de Computação Heterogênea (PCH) para atendimento à demandas específicas, por meio da integração de Unidades Centrais de Processamento (CPU), Unidades de Processamento Gráfico (GPU), Unidades de Processamento Neural (NPU), Unidades de Processamento Tensorial (TPU), Matrizes de Portas Programáveis em Campo (FPGA) e aceleradores dedicados.;Em andamento;IBRAMED INDUSTRIA BRASILEIRA DE EQUIPAMENTOS MEDICOS - EIRELI;Microempresa;SP;6;Indústria;01/11/2025;ELDORADO;3;6;Outras indústrias de transformação;Outros bens manufaturados;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
Desenvolvimento de Plataforma de Computação Heterogênea para processamento de grandezas multifísicas;Desenvolvimento de Plataforma de Computação Heterogênea (PCH) para atendimento à demandas específicas, por meio da integração de Unidades Centrais de Processamento (CPU), Unidades de Processamento Gráfico (GPU), Unidades de Processamento Neural (NPU), Unidades de Processamento Tensorial (TPU), Matrizes de Portas Programáveis em Campo (FPGA) e aceleradores dedicados.;Em andamento;SMART MODULAR TECHNOLOGIES DO BRASIL - INDUSTRIA E COMERCIO DE COMPONENTES LTDA.;Média;SP;4;Não é CEIS;01/11/2025;ELDORADO;3;6;Outras indústrias de transformação;Outros bens manufaturados;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
Centro de Operações Virtuais - F1;Solução para a Sala de Comando Virtual composto por um sistema com funcionalidades para padronizar, monitorar e controlar remotamente ambientes e equipamentos de ressonância magnética e tomografia computadorizada.;Concluído;SIEMENS LTDA;Grande;SP;8;Não é CEIS;17/03/2015;CERTI;6;6;Complexo industrial da saúde;Assistência à saúde;Conectividade e cloud;Plataformas de Integração e Middleware
